DATE,M1SL
2014-06-01,2817.2
2014-07-01,2837.3
2014-08-01,2787.0
2014-09-01,2861.2
2014-10-01,2880.4
2014-11-01,2888.2
2014-12-01,2955.8
2015-01-01,2952.9
2015-02-01,3009.9
2015-03-01,2996.8
2015-04-01,2999.1
2015-05-01,2978.6
2015-06-01,3013.4
2015-07-01,3034.4
2015-08-01,3017.6
2015-09-01,3044.8
2015-10-01,3026.1
2015-11-01,3083.4
2015-12-01,3104.1
2016-01-01,3103.4
2016-02-01,3131.6
2016-03-01,3152.8
2016-04-01,3197.7
2016-05-01,3236.5
2016-06-01,3242.4
2016-07-01,3241.7
2016-08-01,3312.7
2016-09-01,3326.7
2016-10-01,3338.5
2016-11-01,3354.4
2016-12-01,3345.1
2017-01-01,3393.2
2017-02-01,3403.1
2017-03-01,3451.3
2017-04-01,3450.4
2017-05-01,3516.2
2017-06-01,3525.3
2017-07-01,3547.3
2017-08-01,3586.5
2017-09-01,3570.5
2017-10-01,3607.8
2017-11-01,3629.4
2017-12-01,3613.3
2018-01-01,3651.1
2018-02-01,3614.4
2018-03-01,3664.5
2018-04-01,3656.6
2018-05-01,3654.0
2018-06-01,3655.6
2018-07-01,3681.5
2018-08-01,3695.0
2018-09-01,3702.2
2018-10-01,3726.1
2018-11-01,3704.2
2018-12-01,3764.3
2019-01-01,3744.4
2019-02-01,3751.2
2019-03-01,3735.0
2019-04-01,3779.3
2019-05-01,3788.0
2019-06-01,3832.1
2019-07-01,3865.0
2019-08-01,3862.0
2019-09-01,3901.2
2019-10-01,3931.6
2019-11-01,3952.8
2019-12-01,4008.4
2020-01-01,3977.6
2020-02-01,3979.6
2020-03-01,4260.9
2020-04-01,4788.8
2020-05-01,16245.5
2020-06-01,16574.1
2020-07-01,16774.5
2020-08-01,16898.8
2020-09-01,17170.5
2020-10-01,17365.7
2020-11-01,17612.9
2020-12-01,17803.0
2021-01-01,18063.0
2021-02-01,18322.3
2021-03-01,18595.7
2021-04-01,18946.1
2021-05-01,19266.3
2021-06-01,19327.2
2021-07-01,19494.0
2021-08-01,19721.0
2021-09-01,19863.2
2021-10-01,20057.2
2021-11-01,20246.8
2021-12-01,20436.2
2022-01-01,20500.2
2022-02-01,20577.9
2022-03-01,20691.0
2022-04-01,20708.4
2022-05-01,20676.3
2022-06-01,20606.7
2022-07-01,20540.8
2022-08-01,20456.6
2022-09-01,20304.2
2022-10-01,20142.0
2022-11-01,19972.8
2022-12-01,19765.1
2023-01-01,19554.1
2023-02-01,19362.9
2023-03-01,18968.9
2023-04-01,18647.2
2023-05-01,18596.4
2023-06-01,18485.8
2023-07-01,18381.8
2023-08-01,18271.7
2023-09-01,18151.7
2023-10-01,18070.1
2023-11-01,18009.0
2023-12-01,18012.3
2024-01-01,17975.2
2024-02-01,17930.2
2024-03-01,17990.1
2024-04-01,17978.9
2024-05-01,18022.8
2024-06-01,18063.4
